feature,MI,corr_30s,mean_abs_corr
relative_spread,0.33633328233008086,-0.012381663172635473,0.01325882303396342
lambda_like,0.22719747906824406,-0.0003018417592182447,0.001623716479212503
micro_minus_mid,0.22639357334019738,0.011037992986027192,0.011607442523979633
spread,0.2215508137162674,-0.012404883277149654,0.013288978217025424
amihud_like,0.20012999694750633,-0.00621188324725091,0.008303499633991645
order_flow_toxicity,0.17564517645872968,0.0012814304221252266,0.0020965451649230566
vpin,0.17260569294417216,0.0012814304221252266,0.0020965451649230566
rv_5s,0.14914571274698218,-0.008027207515510417,0.0074401249966323385
mean_spread_5s,0.1481115246481357,-0.0070664020964959695,0.00614926173664887
rv_15s,0.14159844398041255,-0.0022179900323926844,0.003917693097063908
mean_return_5s,0.13624357868848236,0.008582098947148254,0.008229938877326027
mean_spread_15s,0.1351860408957748,-0.003883994177032207,0.003215371831869086
rv_300s,0.13473475929197232,-0.006583099460542761,0.006847938593056148
spread_percentile,0.12840649049816744,-0.013981729789571951,0.012419497617232449
rv_60s,0.12794055847489005,-0.006115340590407597,0.011625164610739052
mean_return_15s,0.118674518789744,0.007780558612737909,0.0050444488841198355
kyle_lambda,0.11666030684242568,0.0012026816982206648,0.00107102460248449
imb_band_0_5bps,0.10882113720394582,0.09747994434315899,0.0812376391254659
imbalance_L1,0.10863645714137515,0.09747994434315899,0.0812376391254659
mean_return_60s,0.09663153038739924,0.004940886204894843,0.0039185950476507804
center_of_gravity,0.0946904866485303,-0.020235999011879415,0.030247686493980467
ask_slope,0.09445520931945506,0.025763709896970802,0.019828338659083747
imb_band_5_10bps,0.08004073101792297,0.041613911759876554,0.034165558429754994
bid_slope,0.07973209809204107,-0.02426008345319754,0.022440912055925116
log_return,0.07768650519143439,0.0175926907677404,0.018935795829687237
imbalance_L3,0.07746584543427737,0.10155332380938274,0.08442905847780979
tfi_60s,0.07337799824303204,-0.0002455176502132532,0.002199066268523521
bid_depth_decay_5,0.07250666689941454,-0.010953769370666291,0.007761860513196225
ask_depth_decay_5,0.07131801157165896,0.0035977120895828887,0.0021632667594495797
mid_velocity,0.06972676451402471,0.007850698224678869,0.009755969612563425
mid_accel,0.0635767052200773,-0.0013078913095343411,0.0006477477732514484
ofi_sum_60s,0.06201331417521505,0.02007109940507932,0.01695443199471023
ofi_sum_5s,0.06114175074976913,0.04195377337717777,0.035543789462094806
tfi_15s,0.060357824896990486,-0.008477198304145523,0.006384083208727082
imbalance_L5,0.059783576735434885,0.09831485038980005,0.0822038845329085
smart_ask_depth,0.057776944674116315,-0.01510608791582936,0.0124676758267872
ofi_sum_15s,0.05618068544445087,0.03006207139210964,0.027291124577093137
total_ask_depth,0.055270579627511474,-0.014806458598666819,0.012205995889600816
smart_bid_depth,0.05450829164936888,0.021582894831347045,0.019247692151458193
imb_band_10_25bps,0.05271017754277718,0.01738559894329719,0.016016455079275523
total_bid_depth,0.05007174857795693,0.02120771552896539,0.018903601768180216
tfi_5s,0.04785659911806661,-0.004924195297451734,0.006588663832863348
bid_concentration,0.045668861658852755,-0.012081296001457775,0.007896228890393103
mlofi_sum_60s,0.04545351059598435,0.011776017038067934,0.008999186763825455
imbalance_L10,0.04537016574573638,0.07712201578734447,0.06366888188171879
mlofi_sum_5s,0.040558731716813234,0.04186027489650459,0.03507434752830597
ofi,0.036175575062322274,0.01774018164110695,0.014870152383171215
ask_concentration,0.0347583437066028,0.006359683274357265,0.005028812043806265
cog_vs_mid,0.03408204034152895,0.04546973551021673,0.041626500982565366
mlofi_sum_15s,0.03293499874470651,0.022525474209048633,0.020298970499150096
smart_depth_imbalance,0.027977911842191006,0.042899490955753815,0.03549040610652392
mlofi,0.02641491898346704,0.028049030272588298,0.025108879420692263
book_pressure,0.02634926426989015,0.04199403096722468,0.03469862377290743
total_imbalance,0.02634410506145901,0.04199403096722468,0.03469862377290743
