,AAVE-USD,ADA-USD,AVAX-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,FARTCOIN-USD,HBAR-USD,avg
imbalance_L3,0.30916517972946167,0.06106020137667656,0.021416999399662018,0.3569999933242798,0.07080335915088654,0.4199841320514679,0.04507613927125931,0.1351374238729477,0.45469748973846436,0.20826010199056733
micro_minus_mid,0.06409771740436554,0.4288009703159332,0.5213817358016968,0.09173694998025894,0.0,0.04640348628163338,0.0,0.15017221868038177,0.06240623816847801,0.15166659073697197
imb_band_0_5bps,0.03350178524851799,0.22944669425487518,0.20817746222019196,0.06556158512830734,0.11003699153661728,0.06031395122408867,0.06590594351291656,0.27476704120635986,0.03526565060019493,0.12033078943689664
imbalance_L1,0.02745748683810234,0.13038019835948944,0.11212317645549774,0.05303482338786125,0.1513597071170807,0.053181301802396774,0.047617848962545395,0.25994348526000977,0.0539449080824852,0.09878254847394095
imbalance_L5,0.1546451300382614,0.018458733335137367,0.009647476486861706,0.02158076874911785,0.0724935308098793,0.25679221749305725,0.08501426130533218,0.03483046218752861,0.21592260897159576,0.09659835437519683
smart_depth_imbalance,0.0472252257168293,0.008160285651683807,0.006133432500064373,0.039120715111494064,0.15514986217021942,0.0028480631299316883,0.28220847249031067,0.014985650777816772,0.007980717346072197,0.06264582498826915
imb_band_5_10bps,0.11137277632951736,0.0077542392536997795,0.0,0.09201336652040482,0.040889810770750046,0.04692092165350914,0.045705001801252365,0.028610466048121452,0.05539912357926369,0.047629522884057626
ofi_sum_5s,0.04421475529670715,0.05668031796813011,0.055351920425891876,0.036710333079099655,0.06191461533308029,0.03165285661816597,0.034674808382987976,0.052548427134752274,0.034760791808366776,0.04538986956079801
imbalance_L10,0.09455662965774536,0.003989510238170624,0.01161146629601717,0.056920375674963,0.025956671684980392,0.02528194710612297,0.12169374525547028,0.0065785786136984825,0.0074570621363818645,0.03933844296261668
book_pressure,0.020177217200398445,0.0,0.0,0.06083764508366585,0.044594015926122665,0.00447706738486886,0.100420743227005,0.01027054712176323,0.011675677262246609,0.02805032368956341
imb_band_10_25bps,0.02317630499601364,0.0036008968017995358,0.009082861244678497,0.044811200350522995,0.019035859033465385,0.04224678501486778,0.029841072857379913,0.0,0.02856145240366459,0.02226182585582137
total_imbalance,0.02864602953195572,0.0,0.0,0.018975717946887016,0.07288157194852829,0.0032382800709456205,0.03567855805158615,0.013755534775555134,0.01120465062558651,0.02048670477233827
cog_vs_mid,0.005225639324635267,0.007127084769308567,0.005521225277334452,0.013405225239694118,0.08757368475198746,0.0025793660897761583,0.043972406536340714,0.012304112315177917,0.005035810638219118,0.02030495054916375
imb_band_25_50bps,0.03653804585337639,0.005287330597639084,0.005911129526793957,0.0,0.029467908665537834,0.004079646896570921,0.03010973148047924,0.0060961064882576466,0.0,0.013054433278739452
imb_band_50_100bps,0.0,0.0,0.0,0.0,0.0578424371778965,0.0,0.03208138793706894,0.0,0.0,0.009991536123885049
bid_slope,0.0,0.0,0.0,0.04829135537147522,0.0,0.0,0.0,0.0,0.0,0.005365706152386135
mlofi_sum_5s,0.0,0.031836818903684616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003537424322631624
ofi_sum_15s,0.0,0.007416642736643553,0.018742475658655167,0.0,0.0,0.0,0.0,0.0,0.0,0.0029065687105887467
smart_bid_depth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015687815845012665,0.0017430906494458516
ask_slope,0.0,0.0,0.009410187602043152,0.0,0.0,0.0,0.0,0.0,0.0,0.0010455764002270168
ofi,0.0,0.0,0.005488426890224218,0.0,0.0,0.0,0.0,0.0,0.0,0.0006098252100249132
