,AAVE-USD,ADA-USD,AVAX-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,FARTCOIN-USD,HBAR-USD,avg_abs
amihud_like,-0.031002547273148752,-0.009675020190583758,-0.027967428600745345,-0.0028286954283023172,-0.003016696108965749,-0.0016685036705809879,-0.008448158635157433,-0.006852827975868562,-0.050033325983294505,0.015721467096294156
ask_concentration,0.001606915564940719,0.05136053738573212,0.042984628969321766,0.0038085602207454596,-0.019395867489729716,0.04831039770569328,-0.009028911280934774,0.038199228696626494,7.019686512694856e-05,0.023862804908761255
ask_depth_decay_5,0.029228899083952313,0.02043180424276054,0.03149450446609852,-0.0007444879262297907,0.00020739694128762767,0.004709059967971936,0.00819325516143473,0.0028061618638379527,0.013266632991211636,0.012342466960531671
ask_slope,0.11096951160383893,0.050328248114428736,0.11378220365068574,-2.2034868905592374e-05,0.015789546305614743,0.09184834568050185,0.0006771895705035653,0.09945616928314197,0.055886732606876814,0.059862220187166436
ask_slope_mean_60s,,,,,,,,,,
ask_slope_std_60s,,,,,,,,,,
bid_concentration,-0.021158924225218093,-0.05576701004877937,-0.01801020413749592,0.005506771747172365,0.023411614138237613,0.03206815385797462,0.004528966479627343,0.017722158131707706,0.05535250135882217,0.02594736712500391
bid_depth_decay_5,-0.02317267011507353,-0.010363339960770443,0.007299602802966428,-0.0006707765309524591,0.0034649545574955564,-0.012292038127681499,-0.0016114142938308301,-0.010179089639798475,-0.014217715201867376,0.009252400136715177
bid_slope,-0.12454527802543523,-0.05376630569646338,-0.026852542121541752,-0.05544360928409082,-0.011664604041896585,-0.09946855942598995,-0.056059602206584104,-0.11013175168577669,-0.04451618005612515,0.06471649250487818
bid_slope_mean_60s,,,,,,,,,,
bid_slope_std_60s,,,,,,,,,,
book_pressure,0.1924658512787085,0.03176018810403476,-0.00033571615150416534,0.07404714217611798,0.09256221000007316,0.24867380575441025,0.16075326104971663,0.23085593242836766,0.2717647360999192,0.14480209367142802
center_of_gravity,-0.005519032628142486,-0.005630832695874055,-0.007574434478675182,0.00027874030941196277,-0.0035850932995342764,-0.00483088698876332,-0.003513799995798842,-0.0057661909283363,-0.00927686551269401,0.00510843075969227
cog_momentum_mean_60s,-6.897848486492366e-06,0.00025302233970477683,0.00039854409020505656,-0.005260120756732725,0.003988958158337102,-0.009784785610536148,-0.003121495495339318,-0.013347443306793832,-0.018799291804739125,0.006106728823430508
