symbol,position_usd,impact_bps,participation_rate,est_daily_return_pct,profitable
HBAR-USD,100,2.899182812162103e-07,2.665798909795664e-05,4648.067799920013,True
HBAR-USD,500,6.482769847193466e-07,0.0001332899454897832,4648.067785135727,True
HBAR-USD,1000,9.168021039644357e-07,0.0002665798909795664,4648.067774057574,True
HBAR-USD,5000,2.0500318263793076e-06,0.001332899454897832,4648.067727305552,True
HBAR-USD,10000,2.8991828121621027e-06,0.002665798909795664,4648.067692273356,True
HBAR-USD,25000,4.584010519822179e-06,0.00666449727448916,4648.067622764853,True
HBAR-USD,50000,6.482769847193466e-06,0.01332899454897832,4648.067544430482,True
HBAR-USD,100000,9.168021039644357e-06,0.02665798909795664,4648.067433648953,True
DOGE-USD,100,1.2675092763736375e-07,2.4640397433698833e-05,3806.872499326494,True
DOGE-USD,500,2.834236904083022e-07,0.00012320198716849417,3806.872492446471,True
DOGE-USD,1000,4.0082162687325426e-07,0.00024640397433698833,3806.872487291136,True
DOGE-USD,5000,8.96264404540653e-07,0.0012320198716849417,3806.8724655345927,True
DOGE-USD,10000,1.2675092763736376e-06,0.0024640397433698833,3806.872449231993,True
DOGE-USD,25000,2.0041081343662707e-06,0.006160099358424708,3806.8724168854815,True
DOGE-USD,50000,2.834236904083022e-06,0.012320198716849416,3806.8723804317606,True
DOGE-USD,100000,4.008216268732541e-06,0.02464039743369883,3806.872328878413,True
ADA-USD,100,1.6360248100293336e-07,2.815485570423024e-05,5497.980970333285,True
ADA-USD,500,3.6582626881017696e-07,0.00014077427852115122,5497.980963855383,True
ADA-USD,1000,5.173564708236979e-07,0.00028154855704230243,5497.980959001366,True
ADA-USD,5000,1.156844237361175e-06,0.0014077427852115122,5497.980938516441,True
ADA-USD,10000,1.6360248100293337e-06,0.0028154855704230243,5497.98092316669,True
ADA-USD,25000,2.586782354118489e-06,0.00703871392605756,5497.980892710757,True
ADA-USD,50000,3.65826268810177e-06,0.01407742785211512,5497.98085838767,True
ADA-USD,100000,5.173564708236978e-06,0.02815485570423024,5497.980809847495,True
AAVE-USD,100,0.0010711423582600128,0.0001008567850048211,1139.038137935182,True
AAVE-USD,500,0.0023951471266488223,0.0005042839250241055,1138.9963052689666,True
AAVE-USD,1000,0.0033872495503857137,0.001008567850048211,1138.9649592417206,True
AAVE-USD,5000,0.007574120251418053,0.005042839250241055,1138.8326727358822,True
AAVE-USD,10000,0.010711423582600127,0.01008567850048211,1138.7335478941873,True
AAVE-USD,25000,0.016936247751928566,0.025214196251205273,1138.5368711163217,True
AAVE-USD,50000,0.02395147126648822,0.050428392502410546,1138.3152212320329,True
AAVE-USD,100000,0.03387249550385713,0.10085678500482109,1138.001760959573,True
