feature,correlation_with_ret5tick
smart_depth_imbalance,0.08713490399222963
total_imbalance,0.08648706750495738
book_pressure,0.08648706750495738
imbalance_L10,0.07344978707419232
mean_return_60s,-0.06353058072269821
imb_band_50_100bps,0.0609875821108721
imbalance_L5,0.05669739382660866
imb_band_5_10bps,0.05487282909596974
imb_band_25_50bps,0.04518136904091591
ask_concentration,-0.045034567671512024
imbalance_L3,0.04395348440452347
imb_band_10_25bps,0.04163505124256006
bid_concentration,0.039624556584561564
mean_return_15s,-0.03313220535404584
mlofi_sum_5s,0.032565838999724595
imbalance_L1,0.029629954363293576
imb_band_0_5bps,0.029629954363293576
rv_60s_right,-0.029528026088770986
log_return,0.026015052480652064
log_return_right,0.025562311970966395
log_return_step,0.025562311970966395
smart_bid_depth,0.024494457666334842
total_bid_depth,0.024430766937307263
total_bid_volume,0.024430766937307263
bid_vol_band_50_100bps,0.021720339931872133
smart_ask_depth,-0.01887621246106203
total_ask_depth,-0.018774034131516286
total_ask_volume,-0.018774034131516286
mlofi_sum_15s,0.017109505981299518
mlofi,0.016681597137170392
mlofi_step,0.016681597137170392
spread,0.015332515328101915
relative_spread,0.015329672991138002
amihud_like,0.014629747969852206
rv_60s,-0.014484105385696753
ofi_sum_5s,0.013582022574915024
ask_vol_band_50_100bps,-0.013423110642995801
mid_velocity,0.013017754723580225
depth_0_5bps_sigma,0.012511968697797606
vwap_spread,-0.012384189318526757
mlofi_sum_300s,0.012179524107359922
ofi,0.011786259370582515
ofi_step,0.011786259370582515
ask_vol_band_25_50bps,-0.011496723156783111
bid_size_L15,0.011207428490442936
center_of_gravity,-0.010998148584459563
bid_price_L0,-0.010988865927973024
best_bid,-0.010988865927973024
mid_price,-0.010970998963103617
microprice,-0.010962473178335841
ask_price_L0,-0.010953117018013988
best_ask,-0.010953117018013988
rv_5s_right,0.010882148769944358
rv_5s,0.01076207144720398
mlofi_sum_900s,0.010710414910322414
bid_price_L1,-0.010694311265275555
ask_price_L1,-0.010684122514502807
vwap_ask_5,-0.010529684371163665
ask_price_L2,-0.010461146164671286
bid_price_L2,-0.010456270717443397
vwap_bid_5,-0.010447449964742948
ofi_sum_15s,0.010435949378406436
ask_price_L3,-0.010336191041758695
bid_price_L3,-0.01031330997013656
ask_price_L4,-0.010265897138842957
bid_price_L4,-0.010246379983826702
ask_price_L5,-0.010231030883319893
bid_price_L5,-0.010204762756925737
ask_price_L6,-0.010196929088486514
bid_size_L16,0.010178333908522828
bid_price_L6,-0.010177410772974927
ask_price_L7,-0.01016669966344533
bid_price_L7,-0.010158088765250399
ask_price_L8,-0.010155561249798568
ask_price_L9,-0.010148496419165575
bid_price_L8,-0.010137739830892297
ask_price_L10,-0.010135472413400893
ask_price_L11,-0.010127712566093733
ask_price_L12,-0.010118040519279111
bid_price_L9,-0.010113372457612485
ask_price_L13,-0.01011246345245099
ask_price_L14,-0.01010655529008689
bid_price_L10,-0.010094151760448944
ask_price_L15,-0.010093539146647951
ask_price_L16,-0.010086859157671794
bid_price_L11,-0.010085812904818489
ask_price_L17,-0.010080222626173784
ask_price_L18,-0.010076803141911495
bid_price_L12,-0.010075909665734968
ask_price_L19,-0.01007148467097659
bid_price_L13,-0.010068690776296338
bid_price_L14,-0.010061435706980265
bid_price_L15,-0.010060945657694331
bid_price_L18,-0.010054401726703705
bid_price_L16,-0.010053850275348108
bid_price_L17,-0.010052190817388595
bid_price_L19,-0.010046172907420119
bid_size_L19,0.009903874546484556
ofi_sum_300s,0.00979820269122468
